AccntEntrsTs,DocInfrmTs,EnttyInfrmTs,EnttyInfrmTs_IdntfRefTs,EntryHedrTs,EntryHedrTs_EntryDetlTs,EntryHedrTs_EntryDetlTs_Acnt,EntryHedrTs_EntryDetlTs_Acnt_Sbccn,EntryHedrTs_EntryDetlTs_Acnt_Sbccn_SgParInfrm,EntryHedrTs_EntryDetlTs_Jb,EntryHedrTs_EntryDetlTs_IdntfRefTs,EntryHedrTs_EntryDetlTs_MesrbTs,DocInfrmTs_DocTyp,DocInfrmTs_AdtNr,DocInfrmTs_Lang,DocInfrmTs_CrtnDt,DocInfrmTs_DocCmmnt,DocInfrmTs_PerCvrdStrt,DocInfrmTs_PerCvrdEnd,DocInfrmTs_Crtr,DocInfrmTs_SrcApl,DocInfrmTs_TargtApl,DocInfrmTs_DefltCrrncCur_Cd,EnttyInfrmTs_IdntfRefTs_Id,EnttyInfrmTs_IdntfRefTs_Dscr,EntryHedrTs_EntryIdntf,EntryHedrTs_DtPstd,EntryHedrTs_EntryCrtr,EntryHedrTs_EntryDt,EntryHedrTs_SrcJrn,EntryHedrTs_JrnDscr,EntryHedrTs_EntryOrgn,EntryHedrTs_EntryDscr,EntryHedrTs_EntryDetlTs_LnNr,EntryHedrTs_EntryDetlTs_PstngDt,EntryHedrTs_EntryDetlTs_DocTyp,EntryHedrTs_EntryDetlTs_DocDt,EntryHedrTs_EntryDetlTs_ChrgbOrRembr,EntryHedrTs_EntryDetlTs_Dscr,EntryHedrTs_EntryDetlTs_DocLct,EntryHedrTs_EntryDetlTs_PrmryAmt_Val,EntryHedrTs_EntryDetlTs_PrmryAmt_Cur_Cd,EntryHedrTs_EntryDetlTs_DcmntNmbrOrgntDoc_Nr,EntryHedrTs_EntryDetlTs_DcmntRefrnOrgntDoc_Nr,EntryHedrTs_EntryDetlTs_Acnt_AcntNr,EntryHedrTs_EntryDetlTs_Acnt_Clssf,EntryHedrTs_EntryDetlTs_Acnt_ClssfDscr,EntryHedrTs_EntryDetlTs_Acnt_ParAcnt,EntryHedrTs_EntryDetlTs_Acnt_TypDscr,EntryHedrTs_EntryDetlTs_Acnt_AccntMethd_Typ,EntryHedrTs_EntryDetlTs_Acnt_AccntMethd_Dscr,EntryHedrTs_EntryDetlTs_Acnt_AccntMethd_Prps,EntryHedrTs_EntryDetlTs_Acnt_AccntMethd_PrpsDscr,EntryHedrTs_EntryDetlTs_Acnt_AccntMethd_StrtDt,EntryHedrTs_EntryDetlTs_Acnt_AccntMethd_EndDt,EntryHedrTs_EntryDetlTs_Acnt_Sbccn_Cd,EntryHedrTs_EntryDetlTs_Acnt_Sbccn_Dscr,EntryHedrTs_EntryDetlTs_Acnt_Sbccn_Typ,EntryHedrTs_EntryDetlTs_Acnt_Sbccn_SgParInfrm_ParSbccnCd,EntryHedrTs_EntryDetlTs_Acnt_Sbccn_SgParInfrm_ParSbccnTyp,EntryHedrTs_EntryDetlTs_Acnt_Sbccn_SgParInfrm_RprtTrIdntf,EntryHedrTs_EntryDetlTs_Acnt_Sbccn_SgParInfrm_ParSbccnPerc,EntryHedrTs_EntryDetlTs_Jb_JbIdntf,EntryHedrTs_EntryDetlTs_Jb_JbDscr,EntryHedrTs_EntryDetlTs_Jb_JbPhs,EntryHedrTs_EntryDetlTs_Jb_JbPhsDscr,EntryHedrTs_EntryDetlTs_IdntfRefTs_Id,EntryHedrTs_EntryDetlTs_IdntfRefTs_Dscr,EntryHedrTs_EntryDetlTs_IdntfRefTs_Typ,EntryHedrTs_EntryDetlTs_MesrbTs_Cd,EntryHedrTs_EntryDetlTs_MesrbTs_CdDscr,EntryHedrTs_EntryDetlTs_MesrbTs_MesrbCatgr,EntryHedrTs_EntryDetlTs_MesrbTs_MesrbIdntf,EntryHedrTs_EntryDetlTs_MesrbTs_SchmFrMesrbIdntf,EntryHedrTs_EntryDetlTs_MesrbTs_SecndMesrbIdntf,EntryHedrTs_EntryDetlTs_MesrbTs_SchmFrSecndMesrbIdntf,EntryHedrTs_EntryDetlTs_MesrbTs_MesrbDscr,EntryHedrTs_EntryDetlTs_MesrbTs_Qlfr,EntryHedrTs_EntryDetlTs_MesrbTs_StrtTm,EntryHedrTs_EntryDetlTs_MesrbTs_EndTm,EntryHedrTs_EntryDetlTs_MesrbTs_MesrbClssId,EntryHedrTs_EntryDetlTs_MesrbTs_MesrbClssDscr,EntryHedrTs_EntryDetlTs_MesrbTs_CstngMethdCd,EntryHedrTs_EntryDetlTs_MesrbTs_CstngMethdDscr,EntryHedrTs_EntryDetlTs_MesrbTs_GesptCrdnt,EntryHedrTs_EntryDetlTs_MesrbTs_Qt_Val,EntryHedrTs_EntryDetlTs_MesrbTs_Qt_MeaUnt_UomCd,EntryHedrTs_EntryDetlTs_MesrbTs_UntPrc,EntryHedrTs_EntryDetlTs_MesrbTs_UntPrc_ValAmt,EntryHedrTs_EntryDetlTs_MesrbTs_UntPrc_ValAmt_Val,EntryHedrTs_EntryDetlTs_MesrbTs_UntPrc_ValAmt_Cur_Cd,EntryHedrTs_EntryDetlTs_MesrbTs_UntPrc_BasQt,EntryHedrTs_EntryDetlTs_MesrbTs_UntPrc_BasQt_Val,EntryHedrTs_EntryDetlTs_MesrbTs_UntPrc_BasQt_MeaUnt_UomCd
1,1,,,,,,,,,,,other,PRTS2005-07-31,iso639:en,2005-07-05,XBRL GL Working Group,2005-07-16,2005-07-31,,Runfast Time Clocks Computerize Payroll,Abracadabra Payroll,iso4217:usd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,,,,,,,,,,,,,,XYZ Company,Company Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,50,2005-07-01,Otto Wellwood,2005-07-01,pl,Payroll time and expense journal,imported entry,Timecard: #1234 Employee: #5678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2005-06-30,other,2005-07-31,TRUE,,Donald's desk drawer.,,,51029,Timecard reference#: 100900 ,,,,,,,,,,,,700,,Cost Center,,,,,1212,,Regular,Repair,400,Bernie Bernhardson,E,,,,,,134-53-9377,SSA,,,2005-05-07T08:00:00,2005-05-07T17:00:00,,,,,,8,hours,,,,,,,
1,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2005-06-30,other,2005-07-31,TRUE,Aaabbcc..,Donald's desk drawer.,,,51029,Timecard reference#: 100900 ,,,,,,,,,,,,700,,Cost Center,,,,,1212,,Overtime,Repair,400,Bernie Bernhardson,E,,,,,,134-53-9377,SSA,,,2005-05-07T17:00:00,2005-05-07T19:00:00,,,,,,2,hours,,,,,,,
1,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2005-06-30,other,2005-07-31,,,Donald's desk drawer.,20,,51029,Timecard reference#: 100900 ,,,,,,,,,,,,700,,Cost Center,,,,,1212,,Dirty W.,,400,Bernie Bernhardson,E,,,,,,134-53-9377,SSA,,,,,,,,,,,,,,,,,,
1,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2005-06-30,other,2005-07-31,TRUE,,Donald's desk drawer.,10,,51029,Timecard reference#: 100900 ,,,,,,,,,,,,700,,Cost Center,,,,,,,Meal,,400,Bernie Bernhardson,E,,,,,,134-53-9377,SSA,,,,,,,,,,,,,,,,,,
1,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2005-06-30,other,2005-07-31,,,Donald's desk drawer.,,,51029,Timecard reference#: 100900 ,,,,,,,,,,,,,,,,,,,,,Vacation,,400,Bernie Bernhardson,E,,,,,,134-53-9377,SSA,,,2005-05-08T09:00:00,2005-05-11T17:00:00,,,,,,32,hours,,,,,,,
1,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2005-06-30,other,2005-07-31,,,Donald's desk drawer.,,,51029,Timecard reference#: 100900 ,,,,,,,,,,,,800,,Cost Center,,,,,,,Regular,Production,400,Bernie Bernhardson,E,,,,,,134-53-9377,SSA,,,2005-05-14T13:00:00,2005-05-14T17:00:00,,,,,,4,hours,,,,,,,
1,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2005-06-30,other,2005-07-31,,,Donald's desk drawer.,,,51029,Timecard reference#: 100900 ,,,,,,,,,,,,,,,,,,,,,Sickness,,400,Bernie Bernhardson,E,,,,,,134-53-9377,SSA,,,2005-05-14T13:00:00,2005-05-14T17:00:00,,,,,,4,hours,,,,,,,
1,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2005-06-30,other,2005-07-31,,,Donald's desk drawer.,,,51029,Timecard reference#: 100900 ,,,,,,,,,,,,,,,,,,,,,Sickness,,400,Bernie Bernhardson,E,,,,,,134-53-9377,SSA,,,2005-05-15T08:00:00,2005-05-18T12:00:00,,,,,,32,hours,,,,,,,
